fecha_reparto,pred
2024-01-02,10058.763671875
2024-01-03,10739.7841796875
2024-01-04,11378.9189453125
2024-01-05,11244.830078125
2024-01-06,10197.7412109375
2024-01-07,10618.4833984375
2024-01-09,9184.4853515625
2024-01-10,12000.080078125
2024-01-11,10643.2939453125
2024-01-12,10595.1103515625
2024-01-13,10653.189453125
2024-01-14,10658.9853515625
2024-01-16,9530.35546875
2024-01-17,9123.9248046875
2024-01-18,10650.8251953125
2024-01-19,10501.720703125
2024-01-20,10250.48046875
2024-01-21,10417.34375
2024-01-23,8977.5830078125
2024-01-24,9666.8994140625
2024-01-25,10752.6435546875
2024-01-26,10473.8154296875
2024-01-27,10208.3134765625
2024-01-28,10207.439453125
2024-01-30,9000.4658203125
2024-01-31,9275.7939453125
2024-02-01,10171.0126953125
2024-02-02,9905.5166015625
2024-02-03,10017.2421875
2024-02-04,10369.8173828125
2024-02-06,8997.7763671875
2024-02-07,9206.1806640625
2024-02-08,10748.826171875
2024-02-09,10454.9814453125
2024-02-10,10848.2431640625
2024-02-11,10551.9287109375
2024-02-13,9116.9443359375
2024-02-14,9701.841796875
2024-02-15,10804.515625
2024-02-16,9704.962890625
2024-02-17,9950.81640625
2024-02-18,10632.6611328125
2024-02-20,9176.1416015625
2024-02-21,9255.6005859375
2024-02-22,10259.21875
2024-02-23,9719.984375
2024-02-24,9900.84375
2024-02-25,10347.4775390625
2024-02-27,8928.0888671875
2024-02-28,9218.1259765625
2024-03-01,10277.9140625
2024-03-02,9996.2119140625
2024-03-03,10287.4423828125
2024-03-04,9004.294921875
2024-03-06,8898.1240234375
2024-03-07,9563.626953125
2024-03-08,10080.49609375
2024-03-09,9627.92578125
2024-03-10,9921.095703125
2024-03-11,9196.4033203125
2024-03-13,10376.7890625
2024-03-14,11293.7412109375
2024-03-15,10909.6767578125
2024-03-16,10127.2841796875
2024-03-17,10276.919921875
2024-03-18,9733.1572265625
2024-03-20,10863.2080078125
2024-03-21,10639.8330078125
2024-03-22,10954.580078125
2024-03-23,10327.103515625
2024-03-24,10913.5947265625
2024-03-25,9886.787109375
2024-03-27,9614.0419921875
2024-03-28,11099.3984375
2024-03-29,10239.17578125
2024-03-30,10349.1083984375
2024-03-31,10307.7314453125
2024-04-01,9215.8544921875
2024-04-03,9159.19921875
2024-04-04,10033.8466796875
2024-04-05,10110.09765625
2024-04-06,9879.24609375
2024-04-08,9075.0478515625
2024-04-10,9167.56640625
2024-04-11,10253.6865234375
2024-04-12,10265.099609375
2024-04-13,10362.0400390625
2024-04-14,10102.169921875
2024-04-15,9143.9931640625
2024-04-17,8988.0048828125
2024-04-18,10263.833984375
2024-04-19,10659.2900390625
2024-04-20,10804.5703125
2024-04-21,11065.736328125
2024-04-22,9869.48046875
2024-04-24,9380.9658203125
2024-04-25,10393.5205078125
2024-04-26,10860.341796875
2024-04-27,10765.70703125
2024-04-28,10786.42578125
2024-04-29,10322.7666015625
2024-05-02,10676.0380859375
2024-05-03,10120.8857421875
2024-05-04,10050.16015625
2024-05-05,9960.8271484375
2024-05-06,9440.634765625
2024-05-08,9133.9541015625
2024-05-09,9889.015625
2024-05-10,10104.8095703125
2024-05-11,10336.9609375
2024-05-12,10225.466796875
2024-05-13,8973.1953125
2024-05-15,9186.990234375
2024-05-16,9977.2900390625
2024-05-17,9934.01171875
2024-05-18,10013.876953125
2024-05-19,9702.255859375
2024-05-20,8933.1455078125
2024-05-22,8997.7763671875
2024-05-23,9920.1845703125
2024-05-24,11019.2998046875
2024-05-25,10604.1767578125
2024-05-26,10551.154296875
2024-05-27,9949.203125
2024-05-29,9062.9111328125
2024-05-30,10002.1279296875
2024-05-31,10399.748046875
2024-06-01,10691.3935546875
2024-06-02,10170.869140625
2024-06-03,9589.03125
2024-06-05,9186.990234375
2024-06-06,10109.0595703125
2024-06-07,10065.4638671875
2024-06-08,10036.216796875
2024-06-09,10035.474609375
2024-06-10,8993.388671875
2024-06-12,8988.0048828125
2024-06-13,9934.01171875
2024-06-14,10002.6181640625
2024-06-15,9635.9267578125
2024-06-16,10010.3955078125
2024-06-17,8944.9755859375
2024-06-19,8847.171875
2024-06-20,9957.345703125
2024-06-21,10003.3603515625
2024-06-22,9630.39453125
2024-06-23,9881.4287109375
2024-06-24,8997.7763671875
2024-06-26,8837.400390625
2024-06-27,9881.4287109375
2024-06-28,10694.2529296875
2024-06-29,9524.1904296875
2024-06-30,9828.1796875
2024-07-01,9705.8740234375
2024-07-03,9095.224609375
2024-07-04,9874.787109375
2024-07-05,9870.6826171875
2024-07-06,9598.03125
2024-07-07,9635.6025390625
2024-07-08,9506.626953125
2024-07-10,8361.216796875
2024-07-11,10081.3701171875
2024-07-12,9982.0986328125
