fecha_reparto,y_true,y_pred
2024-01-02,872.3499799,331.1171508088814
2024-01-03,63.416667000000004,290.97344561486375
2024-01-04,107.683334,361.03427679496053
2024-01-05,78.3833403,349.0906598891287
2024-01-06,100.666609,328.7415201390475
2024-01-07,153.016664,297.7345859637272
2024-01-09,117.9166563,328.7415201390475
2024-01-10,116.8416524,330.24004169901883
2024-01-11,93.916674,328.7415201390475
2024-01-12,75.62499,328.7415201390475
2024-01-13,83.7916633,328.7415201390475
2024-01-14,103.37499,338.7077328226416
2024-01-16,130.991658,328.7415201390475
2024-01-17,140.2083233,328.7415201390475
2024-01-18,125.7416636,328.7415201390475
2024-01-19,189.4750302,328.7415201390475
2024-01-20,113.0583136,328.7415201390475
2024-01-21,349.13331999999997,338.7077328226416
2024-01-23,136.374937,328.7415201390475
2024-01-24,167.0166496,330.24004169901883
2024-01-25,78.7999963,328.7415201390475
2024-01-26,73.4666566,328.7415201390475
2024-01-27,82.1916564,328.7415201390475
2024-01-28,106.44167,338.7077328226416
2024-01-30,113.6916333,328.7415201390475
2024-01-31,130.9583333,328.7415201390475
2024-02-01,130.9,328.7415201390475
2024-02-02,92.60832,328.7415201390475
2024-02-03,52.1916597,328.7415201390475
2024-02-04,91.383326,338.7077328226416
2024-02-06,116.0499963,137.90744845386826
2024-02-07,119.291656,155.12385530340123
2024-02-08,74.366647,219.6519342244028
2024-02-09,123.0916503,290.97344561486375
2024-02-10,151.75833,229.65115900586824
2024-02-11,150.1999537,297.7345859637272
2024-02-13,132.825,287.7683732801331
2024-02-14,148.89999,361.03427679496053
2024-02-15,98.89166,349.0906598891287
2024-02-16,80.8249933,328.7415201390475
2024-02-17,248.941657,328.7415201390475
2024-02-18,90.9166736,340.20625438261294
2024-02-20,123.89166,379.82429348951894
2024-02-21,150.9749907,330.24004169901883
2024-02-22,193.3499897,330.24004169901883
2024-02-23,199.283327,330.24004169901883
2024-02-24,116.29166670000001,328.7415201390475
2024-02-25,308.1416506,338.7077328226416
2024-02-27,95.7499996,330.24004169901883
2024-02-28,194.30834,330.24004169901883
2024-03-01,131.416666,330.24004169901883
2024-03-02,109.791667,328.7415201390475
2024-03-03,99.79167,338.7077328226416
2024-03-04,158.5166667,328.7415201390475
2024-03-06,87.5083346,328.7415201390475
2024-03-07,120.80833369999999,328.7415201390475
2024-03-08,124.5999903,328.7415201390475
2024-03-09,137.83333,328.7415201390475
2024-03-10,193.9666606,338.7077328226416
2024-03-11,707.7249856,328.7415201390475
2024-03-13,1033.033327,302.9170625206957
2024-03-14,7986.1997312,287.7683732801331
2024-03-15,287.099963,287.7683732801331
2024-03-16,108.525,312.14869804163965
2024-03-17,2117.833141,359.0568725727228
2024-03-18,229.61666,328.7415201390475
2024-03-20,199.56666,328.7415201390475
2024-03-21,165.2166607,329.78105473844266
2024-03-22,437.9833126,328.7415201390475
2024-03-23,152.7333276,330.24004169901883
2024-03-24,133.9916637,338.7077328226416
2024-03-25,293.9749929,328.7415201390475
2024-03-27,127.78333,330.24004169901883
2024-03-28,109.78333,397.44861126127506
2024-03-29,119.53333,328.7415201390475
2024-03-30,154.174986,330.24004169901883
2024-03-31,79.125,338.7077328226416
2024-04-01,143.2416733,328.7415201390475
2024-04-03,133.0833303,328.7415201390475
2024-04-04,136.0666666,328.7415201390475
2024-04-05,411.2916666,328.7415201390475
2024-04-06,513.0082903,328.7415201390475
2024-04-08,415.6583063,328.7415201390475
2024-04-10,221.83333,328.7415201390475
2024-04-11,195.2666563,328.7415201390475
2024-04-12,232.9333343,328.7415201390475
2024-04-13,155.4416573,328.7415201390475
2024-04-14,60.775001,338.7077328226416
2024-04-15,142.45833,328.7415201390475
2024-04-17,85.43332,328.7415201390475
2024-04-18,71.7249967,174.61419632814778
2024-04-19,162.4166709,197.25561142397095
2024-04-20,135.958333,270.6243058647827
2024-04-21,110.0416666,341.09118618212057
2024-04-22,121.5166566,287.7683732801331
2024-04-24,374.92496,356.07844131360036
2024-04-25,100.08333400000001,287.7683732801331
2024-04-26,153.308317,330.24004169901883
2024-04-27,58.0583303,328.7415201390475
2024-04-28,93.78332,338.7077328226416
2024-04-29,236.3999669,395.9500897013038
2024-05-02,172.4666666,233.07183085063858
2024-05-03,191.6250003,210.20344745584376
2024-05-04,124.2666603,210.5329091240388
2024-05-05,134.7749967,211.68599460621084
2024-05-06,635.1249196,208.7292399522394
2024-05-08,83.9166673,208.7292399522394
2024-05-09,148.6083366,208.7292399522394
2024-05-10,288.3666646,212.54151338746783
2024-05-11,101.824997,208.7292399522394
2024-05-12,199.6583306,215.82772970963433
2024-05-13,169.2749939,208.7292399522394
2024-05-15,155.8250003,208.7292399522394
