,Fecha,Real,Predicción
0,2025-08-21,6978.59333,8389.246
1,2025-08-22,7357.28666,8280.902
2,2025-08-23,8098.25332,8253.83
3,2025-08-24,6720.74662,8266.687
4,2025-08-25,5632.37,8179.594
5,2025-08-26,7536.759980000001,8033.606
6,2025-08-27,5358.73666,8025.9126
7,2025-08-28,6821.31665,7828.913
8,2025-08-29,7736.193320000001,7785.678
9,2025-08-30,9891.2933,7781.861
10,2025-08-31,6164.09999,7934.6177
11,2025-09-02,4687.15333,7801.362
12,2025-09-03,5351.97332,7614.1636
13,2025-09-04,5510.0333200000005,7491.626
14,2025-09-05,5543.0,7377.762
15,2025-09-06,6401.08,7261.8965
16,2025-09-08,6527.56332,7209.312
17,2025-09-09,5439.21998,7161.886
18,2025-09-10,8670.56666,7044.4536
19,2025-09-11,10468.69332,7181.415
20,2025-09-12,5838.84999,7418.752
21,2025-09-13,6850.18332,7321.812
22,2025-09-15,7429.356650000001,7351.306
23,2025-09-16,8932.75998,7409.745
24,2025-09-17,6969.84331,7553.7827
25,2025-09-18,9015.09999,7554.103
26,2025-09-19,6524.84331,7717.972
27,2025-09-20,8695.02665,7673.5977
28,2025-09-22,8328.71999,7813.0054
29,2025-09-23,6671.576660000001,7895.712
30,2025-09-24,9320.07163,7853.4976
31,2025-09-25,6787.65666,8022.6167
32,2025-09-26,7568.769989999999,7964.0933
33,2025-09-27,8591.33,7987.761
34,2025-09-28,8038.7866300000005,8062.6045
35,2025-09-29,6468.31665,8093.535
36,2025-09-30,9125.0,8019.5522
37,2025-10-01,3170.3133299999995,8150.703
38,2025-10-02,10370.61666,7813.355
39,2025-10-03,7082.61996,8065.3555
40,2025-10-04,7733.969949999999,7981.3716
41,2025-10-06,15384.719989999998,7992.887
42,2025-10-07,6743.5333,8562.741
43,2025-10-08,7591.349970000001,8385.963
44,2025-10-09,7586.29333,8395.939
45,2025-10-10,5834.56663,8399.534
46,2025-10-11,10754.94999,8260.319
47,2025-10-13,7632.35331,8494.811
48,2025-10-14,7372.3133,8421.073
49,2025-10-15,7782.16662,8380.205
50,2025-10-16,9235.8733,8362.863
51,2025-10-17,7177.27665,8452.639
52,2025-10-18,10700.8066,8362.706
53,2025-10-20,10077.88331,8564.954
54,2025-10-21,7246.1133,8678.09
55,2025-10-22,7515.516629999999,8582.465
56,2025-10-23,6895.54665,8555.594
57,2025-10-24,6319.56666,8469.044
58,2025-10-25,7677.39332,8340.231
59,2025-10-27,8123.69664,8316.545
60,2025-10-28,7031.27664,8310.155
61,2025-10-29,9581.93664,8212.193
62,2025-10-30,8114.63663,8339.856
63,2025-10-31,8228.25998,8304.382
64,2025-11-01,6217.46664,8316.777
65,2025-11-03,5652.28333,8180.8325
66,2025-11-04,6695.2333,8009.0767
67,2025-11-05,8715.64665,7948.4253
68,2025-11-06,11565.25,8014.4565
69,2025-11-07,7714.48333,8267.504
70,2025-11-08,9320.37999,8216.896
71,2025-11-10,7884.499999999999,8327.627
72,2025-11-11,7715.76666,8322.043
73,2025-11-12,8926.48332,8322.296
74,2025-11-13,6570.59999,8406.862
75,2025-11-14,7136.31666,8292.191
76,2025-11-15,9035.33332,8255.041
77,2025-11-17,8353.81333,8331.6455
78,2025-11-18,6941.86666,8334.676
79,2025-11-19,8122.53333,8255.087
80,2025-11-20,9386.15999,8279.139
81,2025-11-21,7974.833330000001,8379.896
82,2025-11-22,11543.41664,8362.188
83,2025-11-24,12705.799999999997,8625.8125
84,2025-11-25,10351.78333,8929.663
85,2025-11-26,12013.80999,9045.062
86,2025-11-27,10279.19665,9314.657
87,2025-11-28,9670.31665,9421.472
88,2025-11-29,11571.32999,9497.109
89,2025-11-30,12678.96331,9723.239
90,2025-12-02,6112.03333,9991.715
91,2025-12-03,7836.0833299999995,9701.089
92,2025-12-04,9311.0,9644.0
93,2025-12-05,7412.233319999999,9646.677
94,2025-12-06,8723.26665,9478.73
95,2025-12-08,7828.99999,9434.359
96,2025-12-09,7476.199999999999,9301.165
97,2025-12-10,12347.09333,9157.9375
98,2025-12-11,10835.03333,9394.308
99,2025-12-12,10515.59333,9450.726
100,2025-12-13,11636.0,9515.651
101,2025-12-14,9335.14999,9674.007
102,2025-12-15,9053.70332,9637.499
103,2025-12-16,10384.06666,9622.712
104,2025-12-17,10778.06666,9707.508
105,2025-12-18,7528.309989999999,9790.86
106,2025-12-19,11651.31,9612.684
107,2025-12-20,9907.73333,9799.83
108,2025-12-21,9344.27998,9771.457
109,2025-12-22,12651.86333,9738.493
110,2025-12-23,16336.166649999997,9970.75
111,2025-12-24,9273.82666,10450.547
112,2025-12-26,10274.99333,10290.846
113,2025-12-27,8709.29666,10338.313
114,2025-12-28,10107.14999,10228.201
115,2025-12-29,10147.77665,10271.168
116,2025-12-30,8356.09666,10271.822
117,2025-12-31,17922.8,10114.375
