fecha_reparto,y_true,y_pred
2024-01-02,872.3499799,176.36025442340502
2024-01-03,63.416667000000004,185.67749202709555
2024-01-04,107.683334,146.70554717513895
2024-01-05,78.3833403,158.17115902854044
2024-01-06,100.666609,147.29447584917415
2024-01-07,153.016664,155.08478708496312
2024-01-09,117.9166563,138.37424249887954
2024-01-10,116.8416524,151.94028316786307
2024-01-11,93.916674,145.36640441934
2024-01-12,75.62499,158.49485335795916
2024-01-13,83.7916633,150.63789023017767
2024-01-14,103.37499,156.9843653319148
2024-01-16,130.991658,164.47497970804005
2024-01-17,140.2083233,147.97440605594414
2024-01-18,125.7416636,144.54011452266133
2024-01-19,189.4750302,153.09624251878606
2024-01-20,113.0583136,139.06513080323202
2024-01-21,349.13331999999997,155.26219456467135
2024-01-23,136.374937,154.84304022962073
2024-01-24,167.0166496,156.99444709418572
2024-01-25,78.7999963,145.81944242743597
2024-01-26,73.4666566,137.38100434381295
2024-01-27,82.1916564,133.81256983301935
2024-01-28,106.44167,133.559114413193
2024-01-30,113.6916333,156.48764614772736
2024-01-31,130.9583333,165.9783148624126
2024-02-01,130.9,154.34876043334927
2024-02-02,92.60832,155.57456148114585
2024-02-03,52.1916597,135.79412449803993
2024-02-04,91.383326,136.58111685298098
2024-02-06,116.0499963,142.9691523286128
2024-02-07,119.291656,144.37046577540397
2024-02-08,74.366647,152.9147680926516
2024-02-09,123.0916503,169.0682564581989
2024-02-10,151.75833,145.8301864799791
2024-02-11,150.1999537,145.76822285119297
2024-02-13,132.825,142.81679714034013
2024-02-14,148.89999,138.6471347220574
2024-02-15,98.89166,155.02120236543217
2024-02-16,80.8249933,156.03053705048103
2024-02-17,248.941657,168.33076728301728
2024-02-18,90.9166736,144.4253774694286
2024-02-20,123.89166,140.58454548119767
2024-02-21,150.9749907,158.41062916507175
2024-02-22,193.3499897,183.84231955270974
2024-02-23,199.283327,174.39515331211658
2024-02-24,116.29166670000001,149.39405437172178
2024-02-25,308.1416506,134.4982491134541
2024-02-27,95.7499996,154.79520747597752
2024-02-28,194.30834,148.78837598098616
2024-03-01,131.416666,159.80418861364186
2024-03-02,109.791667,147.81383586324512
2024-03-03,99.79167,158.31549945542443
2024-03-04,158.5166667,149.0520980482432
2024-03-06,87.5083346,142.6289971192985
2024-03-07,120.80833369999999,166.57170410830926
