fecha_reparto,Real,Predicción
2024-01-02,6912.758333295,10599.915904520323
2024-01-03,7231.408333293,14027.73764566868
2024-01-04,9162.391666619,15535.592238604691
2024-01-05,10188.858333293,15747.375926928924
2024-01-06,9377.499999959,12699.718256286607
2024-01-07,14835.09999993,14179.310819936722
2024-01-09,14937.366666613,14544.910302780627
2024-01-10,8763.441666638,14369.762767723581
2024-01-11,10513.416666647,15894.26794401035
2024-01-12,8735.04999998,14922.399868507495
2024-01-13,11261.291666637,11968.47577047066
2024-01-14,11925.358333321,15306.675198720543
2024-01-16,9127.641666642001,12174.313543972217
2024-01-17,10450.149999978,14890.872605793204
2024-01-18,10616.058333332,14097.288818266925
2024-01-19,10137.849999978,16893.235249759327
2024-01-20,10870.249999964,14271.375223938205
2024-01-21,10797.833333266999,16040.44281471288
2024-01-23,8808.449999952,12397.637244077501
2024-01-24,10125.366666606,16146.71647213989
2024-01-25,11971.116666631,14741.44368264779
2024-01-26,8938.174999962,16530.90122026785
2024-01-27,12337.608333267,14592.446055918941
2024-01-28,13912.958333277,15443.638001987609
2024-01-30,11124.366666572,13719.64096988158
2024-01-31,12277.183333276,15645.226442938254
2024-02-01,9409.166666627,15569.65180223978
2024-02-02,8504.624999987,15886.410409604381
2024-02-03,8566.808333295,15135.850422837335
2024-02-04,11819.333333289,16147.125243493441
2024-02-06,10088.483333313,10593.710442416603
2024-02-07,10520.333333253,11784.281423302464
2024-02-08,13845.883333286,11469.714918781585
2024-02-09,11998.624999907,11173.99751835241
2024-02-10,15513.758333296,13543.995436788577
2024-02-11,14137.666666613,13634.284294207593
2024-02-13,8787.67499997,12064.957613560477
2024-02-14,13162.04999994,13366.280476299782
2024-02-15,12889.399999975,14572.00999165631
2024-02-16,10856.574999923,12001.850982737338
2024-02-17,11372.483333275,13396.605262490155
2024-02-18,13074.43333331,13129.262117810164
2024-02-20,9810.716666587,11391.957622042564
2024-02-21,12502.249999954,13587.403307528386
2024-02-22,16331.399999939,11839.118496366493
2024-02-23,13274.441666618,11040.636851930149
2024-02-24,15841.65833326,13379.979610297236
2024-02-25,15713.441666571,14557.368964181192
2024-02-27,12312.574999923,14719.61159392184
2024-02-28,14103.708333241,15402.247377160505
2024-03-01,10742.916666661,13054.540126325428
2024-03-02,10174.091666631,10796.069660226229
2024-03-03,10202.199999987,13331.73162607952
2024-03-04,12381.816666651,12936.363211568974
2024-03-06,9585.633333301,12632.388603085674
2024-03-07,16067.891666642,14570.686382201591
2024-03-08,18501.591666647,13165.47958218636
2024-03-09,13342.250000013999,12578.074911468737
2024-03-10,14272.474999976,13058.354051904349
2024-03-11,15093.833333319,13005.304198037664
2024-03-13,10750.441666629,12116.987588621068
2024-03-14,14170.633333299,15633.78337919248
2024-03-15,9940.791666646,13336.329238605109
2024-03-16,12644.349999961,12597.274144618621
2024-03-17,20155.616666586,13548.155096890427
2024-03-18,16461.024999946,12536.38801634547
2024-03-20,21265.941666607,11854.013876035055
2024-03-21,13950.249999984,12983.293880491152
2024-03-22,13330.458333286,11647.721416713828
2024-03-23,10642.699999974,11929.752499779834
2024-03-24,12869.566666585,12116.07420718061
2024-03-25,13092.749999958,14669.518546064672
2024-03-27,9006.066666661,12373.638475345972
2024-03-28,17560.333333342,16019.787353611351
2024-03-29,15532.84999997,13426.925561528584
2024-03-30,12915.483333343,13100.953634870528
2024-03-31,12785.874999974,13968.839846877358
2024-04-01,11648.29166665,12466.483182092845
2024-04-03,9293.67499999,10387.264740488987
2024-04-04,13220.083333324,13092.929583982883
2024-04-05,18407.591666617,11353.302676440464
2024-04-06,12492.308333304,12584.727814779473
2024-04-08,18682.333333312,11105.411729998403
2024-04-10,18505.408333307,11540.748856686043
2024-04-11,17921.391666637,12062.539681608843
2024-04-12,19602.166666622,13097.536073402556
2024-04-13,13616.166666616,11642.508638104457
2024-04-14,13463.366666617,12692.868081050543
2024-04-15,16814.499999957,11860.732763772308
2024-04-17,9594.549999961,12038.75796454535
2024-04-18,12785.233333331,12259.967730022921
2024-04-19,14694.208333271,13760.926606594676
2024-04-20,13201.966666641,12949.880982722889
2024-04-21,15055.449999969,13259.121513021908
2024-04-22,15573.199999962,13148.934675717639
2024-04-24,10115.5583333,11739.239835917271
2024-04-25,11201.049999968,11429.317706609581
2024-04-26,15542.574999963,12939.205637352903
2024-04-27,11103.491666616,12966.651072181747
2024-04-28,12751.291666554,13389.173243404284
2024-04-29,13135.174999951,12636.000977389427
2024-05-02,9691.883333328,12032.849869717022
2024-05-03,12257.866666676,10628.634726079978
2024-05-04,12000.949999983,11454.534202682044
2024-05-05,19213.09166661,12199.826714628032
2024-05-06,16497.741666641,11093.247237987754
2024-05-08,13493.908333277,11170.003405627374
2024-05-09,11910.233333263,10784.953194381136
