Fecha,Real,Predicción
2024-01-02,6912.758333295,10958.902818498618
2024-01-03,7231.408333293,12624.02904358988
2024-01-04,9162.391666619,14083.665708206117
2024-01-05,10188.858333293,13432.734604805662
2024-01-06,9377.499999959,12778.788924846162
2024-01-07,14835.09999993,14330.821305336705
2024-01-09,14937.366666613,12172.289986270345
2024-01-10,8763.441666638,13225.35232130994
2024-01-11,10513.416666647,13578.20699050676
2024-01-12,8735.04999998,13121.49537082808
2024-01-13,11261.291666637,12696.350818510036
2024-01-14,11925.358333321,14796.668589282526
2024-01-16,9127.641666642001,11495.905197067446
2024-01-17,10450.149999978,12872.895022627485
2024-01-18,10616.058333332,12982.229052621755
2024-01-19,10137.849999978,15091.248550819406
2024-01-20,10870.249999964,13510.610976758773
2024-01-21,10797.833333266999,14559.880552333541
2024-01-23,8808.449999952,12217.66637283337
2024-01-24,10125.366666606,13663.767206358365
2024-01-25,11971.116666631,14079.965632530118
2024-01-26,8938.174999962,14807.046513968238
2024-01-27,12337.608333267,14489.103062426828
2024-01-28,13912.958333277,15105.61934717226
2024-01-30,11124.366666572,12653.711003300486
2024-01-31,12277.183333276,13455.544842170133
2024-02-01,9409.166666627,14236.64062746586
2024-02-02,8504.624999987,14398.419467465219
2024-02-03,8566.808333295,14857.41506800241
2024-02-04,11819.333333289,15094.751335030338
2024-02-06,10088.483333313,10179.343689409397
2024-02-07,10520.333333253,10828.161771528492
2024-02-08,13845.883333286,11428.269843903801
2024-02-09,11998.624999907,10340.415802823973
2024-02-10,15513.758333296,12638.635324984689
2024-02-11,14137.666666613,12633.89748364948
2024-02-13,8787.67499997,10556.251838262839
2024-02-14,13162.04999994,11154.583454376885
2024-02-15,12889.399999975,12618.10396029311
2024-02-16,10856.574999923,11446.819250950863
2024-02-17,11372.483333275,13437.19187436864
2024-02-18,13074.43333331,13606.748883645007
2024-02-20,9810.716666587,11195.323107928054
2024-02-21,12502.249999954,12179.488746353234
2024-02-22,16331.399999939,11919.712067445274
2024-02-23,13274.441666618,11206.352376771525
2024-02-24,15841.65833326,13154.909663288032
2024-02-25,15713.441666571,13975.849632517029
2024-02-27,12312.574999923,12974.732523151064
2024-02-28,14103.708333241,13120.678358072166
2024-03-01,10742.916666661,12709.77158251399
2024-03-02,10174.091666631,12676.616916540992
2024-03-03,10202.199999987,14195.673415138088
2024-03-04,12381.816666651,12612.773156877156
2024-03-06,9585.633333301,11355.847840499495
2024-03-07,16067.891666642,11965.10164244786
2024-03-08,18501.591666647,12272.18278562974
2024-03-09,13342.250000013999,11986.981411332228
2024-03-10,14272.474999976,13032.634455933441
2024-03-11,15093.833333319,12335.578191833712
2024-03-13,10750.441666629,11031.96517213445
2024-03-14,14170.633333299,13355.745720392857
2024-03-15,9940.791666646,12290.011873954136
2024-03-16,12644.349999961,13460.989663275694
2024-03-17,20155.616666586,13304.210623942428
2024-03-18,16461.024999946,12565.757633673165
2024-03-20,21265.941666607,11513.721588565557
2024-03-21,13950.249999984,12829.506497994591
2024-03-22,13330.458333286,12741.134271447043
2024-03-23,10642.699999974,12264.948476088979
2024-03-24,12869.566666585,12975.553785486194
2024-03-25,13092.749999958,12694.057163830865
2024-03-27,9006.066666661,12178.379060423667
2024-03-28,17560.333333342,14835.451729829289
2024-03-29,15532.84999997,13359.851729494192
2024-03-30,12915.483333343,13775.608637486479
2024-03-31,12785.874999974,13596.31927251098
2024-04-01,11648.29166665,11700.074479428156
2024-04-03,9293.67499999,10477.264307370548
2024-04-04,13220.083333324,11520.307027862083
2024-04-05,18407.591666617,10968.063005313603
2024-04-06,12492.308333304,11352.382590661111
2024-04-08,18682.333333312,10711.36134263884
2024-04-10,18505.408333307,10509.048253323692
2024-04-11,17921.391666637,10920.15839794455
2024-04-12,19602.166666622,11668.433246229175
2024-04-13,13616.166666616,11048.079065583766
2024-04-14,13463.366666617,11375.143077584911
2024-04-15,16814.499999957,10850.242869337382
2024-04-17,9594.549999961,10698.386756866279
2024-04-18,12785.233333331,10725.978127958759
2024-04-19,14694.208333271,12379.245620588661
2024-04-20,13201.966666641,13684.539638239761
2024-04-21,15055.449999969,12921.960818703948
2024-04-22,15573.199999962,14083.275570342144
2024-04-24,10115.5583333,12997.621530658767
2024-04-25,11201.049999968,12769.891968063079
2024-04-26,15542.574999963,14112.195446977019
2024-04-27,11103.491666616,13395.438103519744
2024-04-28,12751.291666554,13213.036267453248
2024-04-29,13135.174999951,12151.183378135454
2024-05-02,9691.883333328,11852.693540822354
2024-05-03,12257.866666676,11441.021743293444
2024-05-04,12000.949999983,11050.73331911701
2024-05-05,19213.09166661,11598.66452657807
2024-05-06,16497.741666641,10902.0707732955
2024-05-08,13493.908333277,10388.340197162288
2024-05-09,11910.233333263,10155.115686133287
2024-05-10,12499.816666663,10193.00475404124
2024-05-11,9879.591666661,11355.865776227192
2024-05-12,12151.991666659,12223.795756080941
2024-05-13,13842.991666662,11831.446709306709
2024-05-15,8664.699999984,11709.436331247938
2024-05-16,11739.374999989,10727.894203403735
2024-05-17,12266.549999964,11123.328016026568
2024-05-18,9196.966666627999,10849.758642295601
2024-05-19,11853.691666675,10642.154152209545
2024-05-20,12429.783333324,10479.608283955307
2024-05-22,9877.366666667,10598.002593603911
2024-05-23,10746.416666656,11256.245187662862
2024-05-24,12766.741666665,11684.57621233777
2024-05-25,9799.916666654999,11546.975868835845
2024-05-26,10401.599999982,12448.40904542416
2024-05-27,12062.199999978,10773.339609184053
2024-05-29,7990.474999992,10879.500944425376
2024-05-30,9377.716666643,10804.500636305209
2024-05-31,9465.149999994,11545.514828979463
2024-06-01,7142.566666666,10201.14648092874
2024-06-02,8624.824999995,12105.015847068384
2024-06-03,9917.708333332,11045.16146950756
2024-06-05,7771.599999992,9620.610991621757
2024-06-06,9524.049999981,11566.07885062118
2024-06-07,13792.766666644,11546.593587958769
2024-06-08,13546.841666637,11013.472921901666
2024-06-09,11894.149999976,12250.664345118614
2024-06-10,12223.274999975,11109.948105987709
2024-06-12,11193.541666639,9344.6790273901
2024-06-13,10989.866666652,10785.319239131912
2024-06-14,13316.51666663,11311.910392114707
2024-06-15,9023.841666659,11067.735894022708
2024-06-16,9020.908333327001,12198.879282769884
2024-06-17,11616.024999994,10377.561258825268
2024-06-19,7969.158333322,9197.914421570891
2024-06-20,9583.933333275,10603.158614600736
2024-06-21,10522.908333312,11019.811082626187
2024-06-22,9862.191666639,11073.751410557139
2024-06-23,7883.533333313,11949.1186928489
2024-06-24,11216.666666652,10189.552716742854
2024-06-26,7009.84999998,9605.45220442467
2024-06-27,10859.749999985,11491.639908293271
2024-06-28,14287.724999978,12793.450393627985
2024-06-29,9553.341666646,10999.133950167168
2024-06-30,8217.041666651,11216.436318938198
2024-07-01,7997.583333332,10329.33898873547
2024-07-03,7246.149999998,8825.479920159842
2024-07-04,8983.766666655,9897.302800495672
2024-07-05,10525.900000001,10582.165521543453
2024-07-06,8141.591666673,9709.369192280843
2024-07-07,11525.991666669,10605.610898401526
2024-07-08,14319.508333337,10771.727947570787
2024-07-10,9959.15,8819.319018376334
2024-07-11,10537.608333328,10892.800832543686
2024-07-12,10360.116666663,11168.84375854368
2024-07-13,9779.224999991,10441.140479471658
2024-07-14,8662.941666658,11621.110399826537
2024-07-15,10520.224999991,10817.18319737301
2024-07-17,7191.983333323,9071.147077312799
2024-07-18,9861.983333315,10460.151704504813
2024-07-19,13152.833333309,11105.26904240543
2024-07-20,11711.716666641,10880.825301742407
2024-07-21,9460.633333312,11549.87747592814
2024-07-22,11283.249999985,10130.772367102256
2024-07-24,8172.091666586,8258.004772303982
2024-07-25,12014.658333312,10542.403908361479
2024-07-26,14587.008333285,11305.573499098919
2024-07-27,14458.69166664,10942.787645801729
2024-07-28,10492.624999997,12429.614706414097
2024-07-31,13249.458333312,10373.166675515298
2024-08-01,8405.858333336,9802.153453478204
2024-08-02,8347.391666659,11373.81516855068
2024-08-03,9770.758333335,10323.232031700853
2024-08-04,11086.874999993,9482.351631873873
2024-08-05,10954.358333327,9924.500804223133
2024-08-07,12812.924999994,10807.330320274115
2024-08-08,8485.675,9689.81460571981
2024-08-09,11189.250000009,11196.586254592168
2024-08-10,8088.633333343,12007.263584717448
2024-08-11,8833.741666678001,11565.96763774588
2024-08-12,9764.841666672,10118.07319038216
2024-08-14,6518.008333334,10371.85220728957
2024-08-15,7838.649999994,9744.287060113034
2024-08-16,11339.966666664,11137.820248335232
2024-08-17,9084.65,11444.389805962848
2024-08-18,9961.475000009,10734.896844131481
2024-08-19,10164.491666672,9712.313398797249
