,Fecha,Real,Predicción
0,2025-08-21,6978.59333,8874.22
1,2025-08-22,7357.28666,8690.137
2,2025-08-23,8098.25332,8626.519
3,2025-08-24,6720.74662,8654.198
4,2025-08-25,5632.37,8520.727
5,2025-08-26,7536.759980000001,8303.715
6,2025-08-27,5358.73666,8336.562
7,2025-08-28,6821.31665,8092.4033
8,2025-08-29,7736.193320000001,8070.508
9,2025-08-30,9891.2933,8123.9746
10,2025-08-31,6164.09999,8390.2
11,2025-09-02,4687.15333,8172.406
12,2025-09-03,5351.97332,7871.9136
13,2025-09-04,5510.0333200000005,7712.621
14,2025-09-05,5543.0,7587.169
15,2025-09-06,6401.08,7472.794
16,2025-09-08,6527.56332,7459.726
17,2025-09-09,5439.21998,7444.0215
18,2025-09-10,8670.56666,7303.8813
19,2025-09-11,10468.69332,7551.121
20,2025-09-12,5838.84999,7921.068
21,2025-09-13,6850.18332,7706.114
22,2025-09-15,7429.356650000001,7699.541
23,2025-09-16,8932.75998,7760.9067
24,2025-09-17,6969.84331,7974.7085
25,2025-09-18,9015.09999,7932.686
26,2025-09-19,6524.84331,8150.348
27,2025-09-20,8695.02665,8043.1216
28,2025-09-22,8328.71999,8227.092
29,2025-09-23,6671.576660000001,8322.681
30,2025-09-24,9320.07163,8225.289
31,2025-09-25,6787.65666,8460.712
32,2025-09-26,7568.769989999999,8348.429
33,2025-09-27,8591.33,8369.871
34,2025-09-28,8038.7866300000005,8491.481
35,2025-09-29,6468.31665,8523.754
36,2025-09-30,9125.0,8384.089
37,2025-10-01,3170.3133299999995,8577.521
38,2025-10-02,10370.61666,8049.9756
39,2025-10-03,7082.61996,8464.091
40,2025-10-04,7733.969949999999,8359.136
41,2025-10-06,15384.719989999998,8374.49
42,2025-10-07,6743.5333,9235.267
43,2025-10-08,7591.349970000001,8895.97
44,2025-10-09,7586.29333,8826.008
45,2025-10-10,5834.56663,8779.385
46,2025-10-11,10754.94999,8550.274
47,2025-10-13,7632.35331,8924.236
48,2025-10-14,7372.3133,8826.017
49,2025-10-15,7782.16662,8752.155
50,2025-10-16,9235.8733,8737.244
51,2025-10-17,7177.27665,8882.329
52,2025-10-18,10700.8066,8751.696
53,2025-10-20,10077.88331,9059.291
54,2025-10-21,7246.1133,9207.741
55,2025-10-22,7515.516629999999,9023.042
56,2025-10-23,6895.54665,8944.266
57,2025-10-24,6319.56666,8809.031
58,2025-10-25,7677.39332,8636.101
59,2025-10-27,8123.69664,8643.02
60,2025-10-28,7031.27664,8674.648
61,2025-10-29,9581.93664,8562.339
62,2025-10-30,8114.63663,8765.177
63,2025-10-31,8228.25998,8728.796
64,2025-11-01,6217.46664,8732.93
65,2025-11-03,5652.28333,8514.103
66,2025-11-04,6695.2333,8286.74
67,2025-11-05,8715.64665,8227.166
68,2025-11-06,11565.25,8379.4375
69,2025-11-07,7714.48333,8793.142
70,2025-11-08,9320.37999,8676.857
71,2025-11-10,7884.499999999999,8805.908
72,2025-11-11,7715.76666,8750.739
73,2025-11-12,8926.48332,8711.672
74,2025-11-13,6570.59999,8821.602
75,2025-11-14,7136.31666,8639.117
76,2025-11-15,9035.33332,8580.858
77,2025-11-17,8353.81333,8731.068
78,2025-11-18,6941.86666,8756.377
79,2025-11-19,8122.53333,8629.773
80,2025-11-20,9386.15999,8670.295
81,2025-11-21,7974.833330000001,8829.783
82,2025-11-22,11543.41664,8789.454
83,2025-11-24,12705.799999999997,9170.622
84,2025-11-25,10351.78333,9582.611
85,2025-11-26,12013.80999,9658.21
86,2025-11-27,10279.19665,9955.482
87,2025-11-28,9670.31665,10009.297
88,2025-11-29,11571.32999,10026.81
89,2025-11-30,12678.96331,10283.19
90,2025-12-02,6112.03333,10609.359
91,2025-12-03,7836.0833299999995,10125.32
92,2025-12-04,9311.0,10010.396
93,2025-12-05,7412.233319999999,10054.967
94,2025-12-06,8723.26665,9851.213
95,2025-12-08,7828.99999,9837.48
96,2025-12-09,7476.199999999999,9695.343
97,2025-12-10,12347.09333,9533.08
98,2025-12-11,10835.03333,9937.011
99,2025-12-12,10515.59333,10032.111
100,2025-12-13,11636.0,10090.861
101,2025-12-14,9335.14999,10276.558
102,2025-12-15,9053.70332,10165.525
103,2025-12-16,10384.06666,10084.792
104,2025-12-17,10778.06666,10179.413
105,2025-12-18,7528.309989999999,10288.149
106,2025-12-19,11651.31,10008.767
107,2025-12-20,9907.73333,10285.924
108,2025-12-21,9344.27998,10264.195
109,2025-12-22,12651.86333,10209.126
110,2025-12-23,16336.166649999997,10548.957
111,2025-12-24,9273.82666,11218.477
112,2025-12-26,10274.99333,10919.01
113,2025-12-27,8709.29666,10901.163
114,2025-12-28,10107.14999,10709.1455
115,2025-12-29,10147.77665,10743.657
116,2025-12-30,8356.09666,10751.785
117,2025-12-31,17922.8,10543.789
