,pred
2026-01-01,118.76669311523438
2026-01-02,194.3764190673828
2026-01-03,121.59302520751953
2026-01-04,136.569091796875
2026-01-05,121.59302520751953
2026-01-06,124.77288818359375
2026-01-07,121.59302520751953
2026-01-08,121.59302520751953
2026-01-09,121.59302520751953
2026-01-10,121.59302520751953
2026-01-11,121.59302520751953
2026-01-12,121.59302520751953
2026-01-13,121.59302520751953
2026-01-14,121.59302520751953
2026-01-15,121.59302520751953
2026-01-16,121.59302520751953
2026-01-17,121.59302520751953
2026-01-18,121.59302520751953
2026-01-19,121.59302520751953
2026-01-20,121.59302520751953
2026-01-21,121.59302520751953
2026-01-22,121.59302520751953
2026-01-23,194.3764190673828
2026-01-24,121.59302520751953
2026-01-25,136.569091796875
2026-01-26,121.59302520751953
2026-01-27,124.77288818359375
2026-01-28,121.59302520751953
2026-01-29,194.3764190673828
2026-01-30,194.3764190673828
